scheduler, patronID, drinkName, execTime,arrivalTime, serviceStartTime, completionTime,waitingTime, responseTime, turnaroundTime, queueLevel
SJF,3,Cider,25,1778882490529,1778882490597,1778882490622,68,68,93,0
SJF,5,Tequila shot,20,1778882490648,1778882490648,1778882490668,0,0,20,0
SJF,5,Bloody Mary,70,1778882490672,1778882490672,1778882490742,0,0,70,0
SJF,4,Red Wine,25,1778882490676,1778882490744,1778882490769,68,68,93,0
SJF,3,Martini,60,1778882490723,1778882490771,1778882490831,48,48,108,0
SJF,5,Cosmopolitan,65,1778882490892,1778882490892,1778882490958,0,0,66,0
SJF,4,White Wine,25,1778882490919,1778882490959,1778882490984,40,40,65,0
SJF,6,Pina Colada,100,1778882490991,1778882490991,1778882491091,0,0,100,0
SJF,5,Martini,60,1778882491008,1778882491093,1778882491153,85,85,145,0
SJF,4,Red Wine,25,1778882491135,1778882491155,1778882491180,20,20,45,0
SJF,7,White Wine,25,1778882491181,1778882491182,1778882491207,1,1,26,0
SJF,6,Margarita,75,1778882491212,1778882491212,1778882491287,0,0,75,0
SJF,5,Tequila shot,20,1778882491264,1778882491289,1778882491309,25,25,45,0
SJF,5,B52,200,1778882491312,1778882491312,1778882491513,0,0,201,0
SJF,8,Draft Beer,50,1778882491324,1778882491514,1778882491565,190,190,241,0
SJF,6,Mojito,75,1778882491367,1778882491566,1778882491641,199,199,274,0
SJF,7,Pina Colada,100,1778882491357,1778882491643,1778882491743,286,286,386,0
SJF,8,Margarita,75,1778882491665,1778882491745,1778882491820,80,80,155,0
SJF,6,Bloody Mary,70,1778882491752,1778882491822,1778882491892,70,70,140,0
SJF,7,Margarita,75,1778882491864,1778882491894,1778882491969,30,30,105,0
SJF,9,Vodka shot,20,1778882491944,1778882491971,1778882491991,27,27,47,0
SJF,8,Red Wine,25,1778882491901,1778882491993,1778882492019,92,92,118,0
SJF,9,Cider,25,1778882491995,1778882492021,1778882492046,26,26,51,0
SJF,6,Martini,60,1778882492043,1778882492048,1778882492108,5,5,65,0
SJF,7,White Wine,25,1778882492050,1778882492110,1778882492135,60,60,85,0
SJF,8,Vodka shot,20,1778882492169,1778882492169,1778882492189,0,0,20,0
SJF,8,Beer,25,1778882492192,1778882492193,1778882492218,1,1,26,0
SJF,7,Margarita,75,1778882492286,1778882492286,1778882492361,0,0,75,0
SJF,8,B52,200,1778882492318,1778882492363,1778882492563,45,45,245,0
SJF,7,Pina Colada,100,1778882492441,1778882492564,1778882492665,123,123,224,0
SJF,8,B52,200,1778882492573,1778882492666,1778882492866,93,93,293,0
SJF,7,Margarita,75,1778882492785,1778882492868,1778882492943,83,83,158,0
SJF,8,Red Wine,25,1778882492877,1778882492945,1778882492970,68,68,93,0
SJF,7,Red Wine,25,1778882493023,1778882493023,1778882493049,0,0,26,0
SJF,1,Cider,25,1778882512889,1778882512890,1778882512915,1,1,26,0
SJF,0,White Wine,25,1778882512889,1778882512942,1778882512967,53,53,78,0
SJF,2,Cider,25,1778882513030,1778882513031,1778882513056,1,1,26,0
SJF,0,B52,200,1778882513118,1778882513118,1778882513318,0,0,200,0
SJF,2,Tequila shot,20,1778882513156,1778882513320,1778882513340,164,164,184,0
SJF,0,White Wine,25,1778882513329,1778882513342,1778882513367,13,13,38,0
SJF,2,Martini,60,1778882513344,1778882513369,1778882513429,25,25,85,0
SJF,3,Bloody Mary,70,1778882513266,1778882513431,1778882513501,165,165,235,0
SJF,4,Red Wine,25,1778882513464,1778882513503,1778882513528,39,39,64,0
SJF,0,Martini,60,1778882513517,1778882513530,1778882513590,13,13,73,0
SJF,2,Beer,25,1778882513540,1778882513591,1778882513617,51,51,77,0
SJF,3,Beer,25,1778882513651,1778882513651,1778882513677,0,0,26,0
SJF,0,Gin and Tonic,40,1778882513700,1778882513700,1778882513740,0,0,40,0
SJF,2,Mojito,75,1778882513717,1778882513742,1778882513817,25,25,100,0
SJF,3,Beer,25,1778882513777,1778882513819,1778882513844,42,42,67,0
SJF,5,Margarita,75,1778882513730,1778882513845,1778882513921,115,115,191,0
SJF,2,Gin and Tonic,40,1778882513927,1778882513927,1778882513968,0,0,41,0
SJF,3,Tequila shot,20,1778882513944,1778882513969,1778882513989,25,25,45,0
SJF,6,Pina Colada,100,1778882513955,1778882513991,1778882514091,36,36,136,0
SJF,5,White Wine,25,1778882514001,1778882514092,1778882514118,91,91,117,0
SJF,2,Pina Colada,100,1778882514078,1778882514119,1778882514219,41,41,141,0
SJF,6,Margarita,75,1778882514211,1778882514221,1778882514296,10,10,85,0
SJF,5,Cider,25,1778882514268,1778882514297,1778882514323,29,29,55,0
SJF,3,B52,200,1778882513993,1778882514324,1778882514524,331,331,531,0
SJF,7,Gin and Tonic,40,1778882514405,1778882514526,1778882514566,121,121,161,0
SJF,6,Martini,60,1778882514376,1778882514568,1778882514628,192,192,252,0
SJF,8,Bloody Mary,70,1778882514509,1778882514630,1778882514700,121,121,191,0
SJF,7,Draft Beer,50,1778882514676,1778882514701,1778882514752,25,25,76,0
SJF,3,Pina Colada,100,1778882514535,1778882514753,1778882514853,218,218,318,0
SJF,8,Gin and Tonic,40,1778882514850,1778882514856,1778882514896,6,6,46,0
SJF,3,Bloody Mary,70,1778882514974,1778882514974,1778882515044,0,0,70,0
SJF,8,Gin and Tonic,40,1778882515006,1778882515046,1778882515086,40,40,80,0
SJF,9,White Wine,25,1778882515112,1778882515112,1778882515137,0,0,25,0
SJF,10,White Wine,25,1778882515173,1778882515173,1778882515198,0,0,25,0
SJF,8,Beer,25,1778882515196,1778882515199,1778882515224,3,3,28,0
SJF,11,Beer,25,1778882515222,1778882515226,1778882515251,4,4,29,0
SJF,8,Mojito,75,1778882515325,1778882515325,1778882515400,0,0,75,0
SJF,10,Pina Colada,100,1778882515348,1778882515402,1778882515502,54,54,154,0
SJF,11,Pina Colada,100,1778882515351,1778882515503,1778882515603,152,152,252,0
SJF,8,Cosmopolitan,65,1778882515510,1778882515605,1778882515670,95,95,160,0
SJF,10,Bloody Mary,70,1778882515622,1778882515672,1778882515742,50,50,120,0
SJF,11,White Wine,25,1778882515724,1778882515743,1778882515769,19,19,45,0
SJF,8,Draft Beer,50,1778882515720,1778882515770,1778882515820,50,50,100,0
SJF,13,Martini,60,1778882515718,1778882515822,1778882515882,104,104,164,0
